Nota_Real,Prediccion_IA,Error_Absoluto
6.7,6.4143999999999775,0.2856000000000227
7.0,6.120399999999997,0.8796000000000026
6.4,6.4218,0.02179999999999982
5.9,6.718399999999995,0.8183999999999942
7.3,7.721000000000015,0.42100000000001536
5.9,7.102999999999955,1.202999999999955
6.7,6.6371999999999725,0.06280000000002772
6.4,5.500800000000005,0.8991999999999951
6.4,6.233999999999994,0.1660000000000066
6.5,6.181200000000005,0.3187999999999951
7.1,7.032199999999964,0.06780000000003561
7.6,7.408599999999987,0.19140000000001223
7.0,6.58360000000002,0.4163999999999799
7.1,7.370400000000015,0.2704000000000155
6.3,6.361600000000019,0.06160000000001897
6.5,6.375799999999986,0.1242000000000143
5.5,6.1107999999999985,0.6107999999999985
6.3,6.615600000000006,0.3156000000000061
3.7,4.597599999999996,0.8975999999999962
4.5,5.4573999999999945,0.9573999999999945
6.5,6.937200000000004,0.43720000000000425
7.8,6.927400000000012,0.8725999999999878
8.1,6.813399999999976,1.286600000000024
6.8,6.962000000000032,0.1620000000000319
6.5,6.860799999999991,0.36079999999999135
6.8,7.083799999999999,0.2837999999999994
5.4,6.031799999999986,0.6317999999999859
5.5,6.356999999999987,0.8569999999999869
6.4,5.923400000000009,0.4765999999999915
7.5,7.4043999999999865,0.09560000000001345
3.7,4.4982000000000095,0.7982000000000093
8.2,6.390800000000013,1.8091999999999864
6.7,7.356800000000011,0.6568000000000112
6.1,7.39880000000003,1.2988000000000302
6.5,6.878199999999984,0.37819999999998366
7.1,7.044599999999968,0.055400000000031646
7.7,7.7825999999999995,0.08259999999999934
7.5,6.161999999999986,1.3380000000000143
7.3,6.014800000000023,1.2851999999999766
4.4,5.8327999999999935,1.4327999999999932
5.7,5.768399999999972,0.06839999999997204
7.7,6.503199999999995,1.196800000000005
8.1,8.005799999999986,0.09420000000001316
6.7,7.265599999999975,0.565599999999975
6.4,5.898799999999983,0.5012000000000176
5.6,5.218399999999975,0.3816000000000246
6.0,6.681399999999994,0.6813999999999938
4.9,6.053599999999998,1.1535999999999973
5.9,6.277000000000002,0.37700000000000156
6.8,7.292400000000004,0.4924000000000044
6.0,5.853400000000005,0.14659999999999496
7.3,6.756000000000011,0.5439999999999889
7.2,6.605400000000033,0.5945999999999669
7.3,5.787599999999977,1.5124000000000226
6.3,6.339999999999962,0.039999999999961844
5.6,5.35999999999999,0.24000000000000998
6.7,6.353200000000003,0.34679999999999733
6.6,6.737000000000027,0.1370000000000271
3.5,5.90759999999999,2.4075999999999897
7.4,7.0453999999999875,0.3546000000000129
4.8,6.327199999999994,1.5271999999999943
4.8,5.1273999999999775,0.3273999999999777
7.4,6.41760000000001,0.9823999999999904
6.5,6.969000000000018,0.46900000000001807
5.8,5.9914,0.1913999999999998
2.1,5.800800000000009,3.7008000000000085
5.5,5.54879999999998,0.048799999999980415
2.9,5.029999999999998,2.1299999999999977
6.4,6.459800000000016,0.05980000000001606
6.2,6.976600000000003,0.7766000000000028
7.7,7.474399999999995,0.22560000000000535
7.3,7.118000000000002,0.18199999999999772
7.1,6.817600000000018,0.28239999999998133
8.6,7.776799999999982,0.8232000000000177
5.4,6.147199999999986,0.7471999999999852
6.3,6.441199999999986,0.14119999999998623
4.0,4.780200000000001,0.7802000000000007
6.6,6.490999999999989,0.10900000000001064
